0.0248,11.1300,13.9000,12.7375,3.5690
0.0338,17.4600,19.9800,19.1141,4.3720
0.1614,134.7000,86.1000,603.7955,24.5723
1.1496,512.2000,551.1000,124284.4453,352.5400
0.0002,0.0000,0.1162,0.0002,0.0146
0.0002,0.1147,0.1649,0.0028,0.0529
0.0002,0.0000,0.1690,0.0064,0.0797
0.0001,0.0000,0.0892,0.0015,0.0388
0.0003,0.1893,0.2157,0.0008,0.0284
0.0001,0.0608,0.0677,0.0001,0.0075
0.0007,0.0000,0.4564,0.0771,0.2776
0.0021,0.0000,1.6790,0.3055,0.5528
0.0050,1.4450,3.2800,4.0950,2.0236
0.0708,11.3600,23.1200,2068.4858,45.4806
0.0000,0.0000,0.0070,0.0000,0.0030
0.0000,0.0000,0.0256,0.0003,0.0179
0.0001,0.0000,0.0301,0.0009,0.0302
0.0000,0.0000,0.0127,0.0000,0.0062
0.0000,0.0000,0.0160,0.0001,0.0083
0.0000,0.0000,0.0039,0.0000,0.0026
0.0286,13.4600,15.1500,23.7703,4.8755
0.0450,18.9900,25.2600,38.8571,6.2335
0.1882,117.7000,97.9000,1146.7245,33.8633
1.5459,284.4000,686.5000,324770.2500,569.8862
0.0002,0.1418,0.1878,0.0006,0.0235
0.0004,0.0000,0.4480,0.0248,0.1575
0.0005,0.0000,0.4704,0.0435,0.2087
0.0002,0.0000,0.2027,0.0043,0.0658
0.0005,0.0000,0.3585,0.0040,0.0630
0.0001,0.0000,0.1065,0.0003,0.0184
